Basics||||||||||||||||TitleSimpleForm||||||||TitleProgressive|||||||||||TitlePoliteness|||||TitleRequest|||||TitleImperative|||||TitleDesire|||||||||TitleProvisional||||||||||TitleVolitional|||||TitleObligation|||||||||||TitlePresumptive||||||||TitleAlternative||||TitleCausativeA|||||TitleCausativePv|||||TitlePassive||||||TitlePotential||||||TitleContinuative|||||||TitleCompulsion|||TitleGerund|||||||TitleteformCmp||||||||||||||TitleteformConj||||TitleSFConj||||TitlemasuCmp||||||||||||TitleStemMisc|||||||||TitleArch||||
Basics1|Basics2|Basics3|Basics4|Basics5|Basics6|Basics7|Basics8|Basics9|Basics10|Basics11|Basics12|Basics13|Basics14|Basics15|Basics16|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|PPr|PPrA|ClPr|ClPrA|PPrN|ClPrN|PlPr|PlPrN|PPs|PlPs|PlPsN|LPl|Hn1|Hn2|Hm1|Hm2|Pl1|Pl2|PlN|Hn|HnN|PPrV|PPrL|PPrN|PlPr|PlPrN|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|Pr3rdPO|Pba|ClN|PNba|Plba|PlNba|Ptara|PNtara|Pltara|PlNtara|IIWTS|P|PN|PPg|Pl|PlN|ClPr|PPr1|PPr2|PPrN1|PPrN2|PPrN3|PlPr1|PlPr2|PlPrN1|PlPrN2|PlPrN3|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|A|N|APg|NPg|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|PPrN|PPrN|PlPr|PlPrN|PvPg|PPr|ClPr|PPrN|PPrN|PlPr|PlPrN|PPrL|PPr|PlPrN1|PlPrN2|PlPr|PlPrN1|PlPrN2|ClPr|PPr|PlPr|A|N|Ps|teform|APg|NPg|PsPg|teformCmp1|teformCmp2|teformCmp3|teformCmp4|teformCmp5|teformCmp6|teformCmp7|teformCmp8|teformCmp9|teformCmp10|teformCmp11|teformCmp12|teformCmp13|teformCmp14|teformConj1|teformConj2|teformConj3|teformConj4|SFConj1|SFConj2|SFConj3|SFConj4|masuCmp1|masuCmp2|masuCmp3|masuCmp4|masuCmp5|masuCmp6|masuCmp7|masuCmp8|masuCmp9|masuCmp10|masuCmp11|masuCmp12|StemMisc1|StemMisc2|StemMisc3|StemMisc4|StemMisc5|StemMisc6|StemMisc7|StemMisc8|StemMisc9|Arch1|Arch2|Arch3|Arch4|
Family|English|T/I|Prep|Kana|Kanji|u-stem|Root Kanji|Root|i-stem|a-stem|o-stem|e-stem|te-stem|ta-stem|masu-stem|u|ta|nai|nakatta|masu|mashita|masen|masen deshita|teiru|teite|teru|tete|teinai|tenai|teimasu|teimasen|teita|teimashita|teimasen deshita|u|ni naru|nasaru|suru|itasu|kudasai|(o) kudasai|naide kudasai|(o) nasaimase|(o) nasaimasu na|e/ro|e/yo|u na|nasai|nasaru na|tai|takatta|takunai|takunakatta|tai desu|tai deshita|taku arimasen|taku arimasen deshita|tagaru|ba|nakya|nakereba|maseba/masureba|masen nara|tara|nakattara|mashitara|masen deshitara|tai|ou|mai|teyou|mashou|masu mai|nakya (ikenai)|nakereba ikenai|nakereba naranai|ikenai|naranai|dame|nakereba ikemasen|nakereba narimasen|ikemasen|narimasen|dame desu|darou|darou|nai darou|nakatta darou|deshou|nai darou|deshou|nai deshou|tari|nakattari|teitari|teinakattari|seru|su|senai|semasu|semasen|serareru|sareru|serarenai|seraremasu|seraremasen|reru|reta|renai|remasu|remasen|rete|eru|reru|eta|enai|emasu|emasen|i|te|naide|nakute|mashite|masende|masende|nakucha (ikenai)|nakute wa ikenai|nakute wa ikemasen|koto|nai koto|ta koto|te koto|teiru koto|teinai koto|teita koto|te ageru|kureru|morau|te iku|te oku|ttoku|shimau|chau/jau|shimatta|chatta/jatta|miru|suru|te aru|kuru|hoshii|mo ii|mo kamawanai|nakute mo ii|n da|n desu|no da|no desu|sugiru|sugi da|au|dasu|hajimeru|naosu|okureru|owaru|wasureru|yagaru|kaneru|ageru|ni|nagara|nasasou|tsuzuku|kata|nikui|yasui|sasu|yagare|nu|zu|zaru|zaru wo enai|
su godan|||||XXXす|su|||shi|sa|sou|se|shite|shita|shi|su|shita|sanai|sanakatta|shimasu|shimashita|shimasen|shimasen deshita|shiteiru|shiteite|shiteru|shitete|shiteinai|shitenai|shiteimasu|shiteimasen|shiteita|shiteimashita|shiteimasen deshita|*|(o)shi ni naru|(o)shi nasaru|(o)shi suru|(o)shi itasu|shite kudasai|(o)shi kudasai|sanaide kudasai|(o)shi nasaimase|(o)shi nasaimasu na|se|se|su na|shi nasai|shi nasaru na|shitai|shitakatta|shitakunai|shitakunakatta|shitai desu|shitai deshita|shitaku arimasen|shitaku arimasen deshita|shitagaru|seba|sa nakya|sanakereba|shimaseba|shimasen nara|shitara|sanakattara|shimashitara|shimasen deshitara|shitakereba|sou|su mai|shiteyou|shimashou|shimasu mai|sa nakya (ikenai)|sa nakereba ikenai|sa nakereba naranai|shite wa ikenai|shite wa naranai|shite wa dame da|sa nakereba ikemasen|sa nakereba narimasen|shite wa ikemasen|shite wa narimasen|shite wa dame desu|su darou|shita darou|sanai darou|sanakatta darou|su deshou|shita deshou|sanai deshou|sanakatta deshou|shitari|sanakattari|shiteitari|shiteinakattari|saseru|sasu|sasenai|sasemasu|sasemasen|saserareru|sasareru|saserarenai|saseraremasu|saseraremasen|sareru|sareta|sarenai|saremasu|saremasen|sarete|seru|reru|seta|senai|semasu|semasen|shi|shite|sanaide|sanakute|shimashite|shimasende|sazu ni|sa nakucha (ikenai)|sa nakute wa ikenai|sa nakute wa ikemasen|sukoto|sanaikoto|shitakoto|shitekoto|shiteiru koto|shiteinai koto|shiteita koto|shite ageru|shite kureru|shite morau|shite iku|shite oku|shittoku|shite shimau|shichau|shite shimatta|shichatta|shite miru|shite suru|shite aru|shite kuru|shite hoshii|shite mo ii|shite mo kamawanai|sanakute mo ii|su n da|su n desu|su no da|su no desu|shisugiru|shisugi da|shiau|shidasu|shihajimeru|shinaosu|shiokureru|shiowaru|shiwasureru|shiyagaru|shikaneru|shiageru|shi ni [verb]|shinagara|sanasasou|shitsuzuku|shikata|shinikui|shiyasui|shisasu|shiyagare|sanu|sazu|sazaru|sazaru wo enai|
su godan|to do|T|を|いたす|致す|itasu|致|ita|||||||||||||||||||||||||||suru|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
su godan|to say, to be called|T|と|もうす|申す|mousu|申|mou|||||||||||||||||||||||||||hanasu|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ku godan||||XXXく|XXXく|ku|||ki|ka|kou|ke|ite|ita|ki|ku|ita|kanai|kanakatta|kimasu|kimashita|kimasen|kimasen deshita|iteiru|iteite|iteru|itete|iteinai|itenai|iteimasu|iteimasen|iteita|iteimashita|iteimasen deshita|*|(o)ki ni naru|(o)ki nasaru|(o)ki suru|(o)ki itasu|ite kudasai|(o)ki kudasai|kanaide kudasai|(o)ki nasaimase|(o)ki nasaimasu na|ke|ke|ku na|ki nasai|ki nasaru na|kitai|kitakatta|kitakunai|kitakunakatta|kitai desu|kitai deshita|kitaku arimasen|kitaku arimasen deshita|kitagaru|keba|ka nakya|kanakereba|kimaseba|kimasen nara|itara|kanakattara|kimashitara|kimasen deshitara|kitakereba|kou|ku mai|iteyou|kimashou|kimasu mai|ka nakya (ikenai)|ka nakereba ikenai|ka nakereba naranai|ite wa ikenai|ite wa naranai|ite wa dame da|ka nakereba ikemasen|ka nakereba narimasen|ite wa ikemasen|ite wa narimasen|ite wa dame desu|ku darou|ita darou|kanai darou|kanakatta darou|ku deshou|ita deshou|kanai deshou|kanakatta deshou|itari|kanakattari|iteitari|iteinakattari|kaseru|kasu|kasenai|kasemasu|kasemasen|kaserareru|kasareru|kaserarenai|kaseraremasu|kaseraremasen|kareru|kareta|karenai|karemasu|karemasen|karete|keru|reru|keta|kenai|kemasu|kemasen|ki|ite|kanaide|kanakute|kimashite|kimasende|kazu ni|ka nakucha (ikenai)|ka nakute wa ikenai|ka nakute wa ikemasen|kukoto|kanaikoto|itakoto|itekoto|iteiru koto|iteinai koto|iteita koto|ite ageru|ite kureru|ite morau|ite iku|ite oku|kittoku|ite shimau|ichau|ite shimatta|ichatta|ite miru|ite suru|ite aru|ite kuru|ite hoshii|ite mo ii|ite mo kamawanai|kanakute mo ii|ku n da|ku n desu|ku no da|ku no desu|kisugiru|kisugi da|kiau|kidasu|kihajimeru|kinaosu|kiokureru|kiowaru|kiwasureru|kiyagaru|kikaneru|kiageru|ki ni [verb]|kinagara|kanasasou|kitsuzuku|kikata|kinikui|kiyasui|kisasu|kiyagare|kanu|kazu|kazaru|kazaru wo enai|
ku godan|to receive, to get, to accept, to take, to buy, to eat, to drink, to be crowned with|T||いただく|頂く|itadaku|頂|itada|||||||||||||||||||||||||||taberu, nomu, kuru, morau|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ku godan|to hear, to listen, to ask, to enquire, to query|T|を|きく|聞く|kiku|聞|ki||||||||||||||||||||||||||||*|*|ukagau|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ku godan|to listen, to be told, to obey, to follow, to ask, to enquire, to query|T|を/に|きく|聴く|kiku|聴|ki||||||||||||||||||||||||||||*|*|ukagau|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ku godan|to ask, to enquire, to query, to listen (formal)|T|を/に|きく|訊く|kiku|訊|ki||||||||||||||||||||||||||||*|*|ukagau|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ku godan|to become dry|I||かわく|乾く|kawaku|乾|kawa||||||||kawaku|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||||XXXく|XXXく|ku|||ki|ka|kou|ke|itte|itta|ki|ku|ita|kanai|kanakatta|kimasu|kimashita|kimasen|kimasen deshita|itteiru|itteite|itteru|ittete|itteinai|ittenai|itteimasu|itteimasen|itteita|itteimashita|itteimasen deshita|*|(o)de ni naru|rassharu|*|(o)mairu|itte kudasai|(o)ki kudasai|kanaide kudasai|(o)ki nasaimase|(o)ki nasaimasu na|ke|ke|ku na|ki nasai|ki nasaru na|kittai|kittakatta|kittakunai|kittakunakatta|kittai desu|kittai deshita|kittaku arimasen|kittaku arimasen deshita|kittagaru|keba|ka nakya|kanakereba|kimaseba|kimasen nara|ittara|kanakattara|kimashitara|kimasen deshitara|kittakereba|kou|ku mai|itteyou|kimashou|kimasu mai|ka nakya (ikenai)|ka nakereba ikenai|ka nakereba naranai|itte wa ikenai|itte wa naranai|itte wa dame da|ka nakereba ikemasen|ka nakereba narimasen|itte wa ikemasen|itte wa narimasen|itte wa dame desu|ku darou|itta darou|kanai darou|kanakatta darou|ku deshou|itta deshou|kanai deshou|kanakatta deshou|ittari|kanakattari|itteitari|itteinakattari|kaseru|kasu|kasenai|kasemasu|kasemasen|kaserareru|kasareru|kaserarenai|kaseraremasu|kaseraremasen|kareru|kareta|karenai|karemasu|karemasen|karete|keru|reru|keta|kenai|kemasu|kemasen|ki|itte|kanaide|kanakute|kimashite|kimasende|kazu ni|ka nakucha (ikenai)|ka nakute wa ikenai|ka nakute wa ikemasen|kukoto|kanaikoto|ittakoto|ittekoto|itteiru koto|itteinai koto|itteita koto|itte ageru|itte kureru|itte morau|itte iku|itte oku|kittoku|itte shimau|ichau|itte shimatta|ichatta|itte miru|itte suru|itte aru|itte kuru|itte hoshii|itte mo ii|itte mo kamawanai|kanakute mo ii|ku n da|ku n desu|ku no da|ku no desu|kisugiru|kisugi da|kiau|kidasu|kihajimeru|kinaosu|kiokureru|kiowaru|kiwasureru|kiyagaru|kikaneru|kiageru|ki ni [verb]|kinagara|kanasasou|kitsuzuku|kikata|kinikui|kiyasui|kisasu|kiyagare|kanu|kazu|kazaru|kazaru wo enai|
iku special class|to go|I||いく|行く|iku|行|i|||||||||||||||||||||||||||*|(o)ide ni naru|irassharu|*|(o)mairu||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*|*|*|*|*|*|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||連れて行く|tsureteiku|連れて行|tsuretei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||上手くいく|umakuiku|上手くい|umakui|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||持っていく|motteiku|持ってい|mottei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||地でいく|jideiku|地でい|jidei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||ついて行く|tsuiteiku|ついて行|tsuitei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class|to maintain itself, to last, to make itself pay, to make a living, to keep going|I|||立ち行く|tachiiku|立ち行|tachii|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||うまくやって行く|umakuyatteiku|うまくやって行|umakuyattei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||生きていく|ikiteiku|生きてい|ikitei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||やって行く|yatteiku|やって行|yattei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||戻って行く|modotteiku|戻って行|modottei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||いい線行く|iiseniku|いい線行|iiseni|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||しっくり行く|shikkuriiku|しっくり行|shikkurii|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||出て行く|deteiku|出て行|detei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||はって行く|hatteiku|はって行|hattei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||去り行く|sariiku|去り行|sarii|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||良い線行く|yoiseniku|良い線行|yoiseni|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||置いて行く|oiteiku|置いて行|oitei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class||||XXXく|XXXく|ku|||ki|ka|kou|ke|ite|ita|ki|ku|ita|kanai|kanakatta|kimasu|kimashita|kimasen|kimasen deshita|iteiru|iteite|iteru|itete|iteinai|itenai|iteimasu|iteimasen|iteita|iteimashita|iteimasen deshita|*|(o)de ni naru|rassharu|*|(o)mairu|ite kudasai|(o)ki kudasai|kanaide kudasai|(o)ki nasaimase|(o)ki nasaimasu na|ke|ke|ku na|ki nasai|ki nasaru na|kitai|kitakatta|kitakunai|kitakunakatta|kitai desu|kitai deshita|kitaku arimasen|kitaku arimasen deshita|kitagaru|keba|ka nakya|kanakereba|kimaseba|kimasen nara|itara|kanakattara|kimashitara|kimasen deshitara|kitakereba|kou|ku mai|iteyou|kimashou|kimasu mai|ka nakya (ikenai)|ka nakereba ikenai|ka nakereba naranai|ite wa ikenai|ite wa naranai|ite wa dame da|ka nakereba ikemasen|ka nakereba narimasen|ite wa ikemasen|ite wa narimasen|ite wa dame desu|ku darou|ita darou|kanai darou|kanakatta darou|ku deshou|ita deshou|kanai deshou|kanakatta deshou|itari|kanakattari|iteitari|iteinakattari|kaseru|kasu|kasenai|kasemasu|kasemasen|kaserareru|kasareru|kaserarenai|kaseraremasu|kaseraremasen|kareru|kareta|karenai|karemasu|karemasen|karete|keru|reru|keta|kenai|kemasu|kemasen|ki|ite|kanaide|kanakute|kimashite|kimasende|kazu ni|ka nakucha (ikenai)|ka nakute wa ikenai|ka nakute wa ikemasen|kukoto|kanaikoto|itakoto|itekoto|iteiru koto|iteinai koto|iteita koto|ite ageru|ite kureru|ite morau|ite iku|ite oku|kitoku|ite shimau|ichau|ite shimatta|ichatta|ite miru|ite suru|ite aru|ite kuru|ite hoshii|ite mo ii|ite mo kamawanai|kanakute mo ii|ku n da|ku n desu|ku no da|ku no desu|kisugiru|kisugi da|kiau|kidasu|kihajimeru|kinaosu|kiokureru|kiowaru|kiwasureru|kiyagaru|kikaneru|kiageru|ki ni [verb]|kinagara|kanasasou|kitsuzuku|kikata|kinikui|kiyasui|kisasu|kiyagare|kanu|kazu|kazaru|kazaru wo enai|
yuku special class||I|||移り行く|utsuriyuku|移り行|utsuriyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class||I|||育ち行く|sodachiyuku|育ち行|sodachiyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class||I|||冴え行く|saeyuku|冴え行|saeyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class|walk down the road|I|||道行く|michiyuku|道行|michiyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class|to pass, to go past|I|||過ぎ行く|sugiyuku|過ぎ行|sugiyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class|to darken, to wane|I|||暮れゆく|kureyuku|暮れゆ|kureyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
yuku special class||I|||落ちゆく|ochiyuku|落ちゆ|ochiyu|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
